Outreach Rank,Outreach Score /100,Company Name,Segment,Phone Number,Phone Type,Contact Channel,Best Time To Call,Ask For,Contact Approach,Location,Industry,Services,Google Reviews (verified),Google Rating (verified),Website,Web Dev Opportunity,Lead Score /100,Outreach Breakdown,Opening Line
40,79,GSR Gas & Plumbing Services,domestic trade,07429 700844,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it.","Meanwood, Leeds",Gas & Plumbing Engineering,"Boiler repair, gas servicing",47,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=9/30 (47 reviews, 31% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts GSR Gas & Plumbing Services outside working hours, what happens to that enquiry?"
41,78,Banwy Fuels Ltd,fuel distribution,01938 810242,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Welshpool, Powys",Oil Distribution,"Heating oil delivery, monthly payment plans",152,4.8,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=28/30 (152 reviews, 92% of fuel distribution) reputation=20/20 (4.8 excellent)","Quick one. When a customer rings Banwy Fuels Ltd to order fuel out of hours, what happens to that enquiry?"
42,78,Manchester Gas and Heating Ltd,domestic trade,07960 042563,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it.","Salford, Manchester",Gas & Heating Engineering,"Full heating system install, boiler service",33,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=8/30 (33 reviews, 26% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Manchester Gas and Heating Ltd outside working hours, what happens to that enquiry?"
43,78,GasPlumb,domestic trade,07778 950491,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it.","Moortown, Leeds",Gas & Plumbing Engineering,"Gas leak repair, servicing",41,4.9,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=8/30 (41 reviews, 28% of domestic trade) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts GasPlumb outside working hours, what happens to that enquiry?"
44,77,Eol Maintenance Services,commercial trade,020 8252 9789,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00",contracts manager or operations manager,"An admin will screen. Ask for the person who handles incoming enquiries by role, not by name you do not have. Angle on service contracts and planned maintenance scheduling.",London EC3V,Building Services Maintenance,"Electrical, plumbing, general maintenance",70,4.9,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[commercial trade]=20/25 demand=22/30 (70 reviews, 75% of commercial trade) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts Eol Maintenance Services outside working hours, what happens to that enquiry?"
45,77,Ideal Gas Solutions,domestic trade,07307 600250,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it.",Glasgow,Gas Engineering,Boiler repair and servicing,31,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=7/30 (31 reviews, 24% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Ideal Gas Solutions outside working hours, what happens to that enquiry?"
46,76,Efficient Maintenance Limited,commercial trade,020 3005 5285,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00",contracts manager or operations manager,"An admin will screen. Ask for the person who handles incoming enquiries by role, not by name you do not have. Angle on service contracts and planned maintenance scheduling.",London EC2A,Building Services Maintenance,Electrical maintenance services,62,4.9,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[commercial trade]=20/25 demand=21/30 (62 reviews, 69% of commercial trade) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts Efficient Maintenance Limited outside working hours, what happens to that enquiry?"
47,76,Notts Heating & Plumbing,domestic trade,07825 216535,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it.",Nottingham,Gas & Heating Engineering,"Cylinder replacement, boiler work",23,4.8,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=6/30 (23 reviews, 19% of domestic trade) reputation=20/20 (4.8 excellent)","Quick one. When someone contacts Notts Heating & Plumbing outside working hours, what happens to that enquiry?"
48,76,HCE Contractor Limited,commercial trade,07308 880222,mobile,Direct mobile call,07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Owner-run commercial outfit. They decide on the spot. Lead on missed out-of-hours enquiries from commercial clients, where a lost call is a lost contract.","Neasden, London",Building Services Maintenance,"Boiler repair, plumbing, electrical",14,4.9,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[commercial trade]=20/25 demand=11/30 (14 reviews, 36% of commercial trade) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts HCE Contractor Limited outside working hours, what happens to that enquiry?"
49,75,K P Thomas & Son,fuel distribution,01834 290016,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Narberth, Pembrokeshire",Oil Distribution & Tank Services,"Heating oil, solid fuel, tank services",98,4.8,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=25/30 (98 reviews, 83% of fuel distribution) reputation=20/20 (4.8 excellent)","Quick one. When a customer rings K P Thomas & Son to order fuel out of hours, what happens to that enquiry?"
50,75,Progas Heating & Plumbing Services Ltd,domestic trade,07503 726428,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it.",Nottingham,Gas & Heating Engineering,Boiler replacement and repair,22,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=5/30 (22 reviews, 18% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Progas Heating & Plumbing Services Ltd outside working hours, what happens to that enquiry?"
51,75,Focus 360 Energy LTD,commercial trade,0117 287 2899,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00",contracts manager or operations manager,"An admin will screen. Ask for the person who handles incoming enquiries by role, not by name you do not have. Angle on service contracts and planned maintenance scheduling.","Clifton, Bristol",Energy Assessment,EPC assessments,115,4.7,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[commercial trade]=20/25 demand=24/30 (115 reviews, 81% of commercial trade) reputation=16/20 (4.7 strong)","Quick one. When someone contacts Focus 360 Energy LTD outside working hours, what happens to that enquiry?"
52,74,Your Maintenance Covered,commercial trade,0808 135 1594,non-geographic,"LinkedIn or email, not the phone","Tue-Thu, 09:00-11:00",owner / operations lead by name,0800/03 number means a switchboard will screen you. Find the decision maker on LinkedIn first and reference something specific about their operation.,London N1,Building Services Maintenance,"Boiler, plumbing, roofing maintenance",486,4.9,,unknown - website discovery not run,91,"reach[non-geographic]=5/25 segment[commercial trade]=20/25 demand=29/30 (486 reviews, 97% of commercial trade) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts Your Maintenance Covered outside working hours, what happens to that enquiry?"
53,74,SCV Electrical Limited,domestic trade,020 7123 8400,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. 69 reviews shows steady demand - ask how they handle enquiries while on a job.","Stepney Green, London",Electrical Engineering / Maintenance,"Electrical inspection, rewiring",69,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=14/30 (69 reviews, 46% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts SCV Electrical Limited outside working hours, what happens to that enquiry?"
54,74,DL Gas & Maintenance Ltd,domestic trade,020 3370 2019,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. 73 reviews shows steady demand - ask how they handle enquiries while on a job.","Bow, London",Gas & Building Maintenance,"Boiler servicing, gas supply, flue work",73,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=14/30 (73 reviews, 48% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts DL Gas & Maintenance Ltd outside working hours, what happens to that enquiry?"
55,74,N Gas Services Uk Ltd,domestic trade,07446 964536,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it.",Birmingham,Gas Engineering,"Boiler service, gas appliance install",19,4.8,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=4/30 (19 reviews, 15% of domestic trade) reputation=20/20 (4.8 excellent)","Quick one. When someone contacts N Gas Services Uk Ltd outside working hours, what happens to that enquiry?"
56,74,RMG Plumbing & Gas Services,domestic trade,07825 412721,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it.","Gedling, Nottingham",Gas & Plumbing Engineering,"Boiler servicing, commercial contracts",15,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=4/30 (15 reviews, 12% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts RMG Plumbing & Gas Services outside working hours, what happens to that enquiry?"
57,73,Swift Heat Gas Services,commercial trade,0161 764 4539,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00",contracts manager or operations manager,"An admin will screen. Ask for the person who handles incoming enquiries by role, not by name you do not have. Angle on service contracts and planned maintenance scheduling.","Bury, Manchester",Industrial & Commercial Gas Engineering,"Industrial boiler rooms, warehouse heaters",52,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[commercial trade]=20/25 demand=18/30 (52 reviews, 58% of commercial trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Swift Heat Gas Services outside working hours, what happens to that enquiry?"
58,73,Gas Glow,domestic trade,0141 291 5087,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. 65 reviews shows steady demand - ask how they handle enquiries while on a job.","Rutherglen, Glasgow",Gas & Heating Engineering,"Boiler install, gas appliance fitting",65,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=13/30 (65 reviews, 44% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Gas Glow outside working hours, what happens to that enquiry?"
59,73,Commercial Gas Safety Certificates Ltd,commercial trade,07779 977899,mobile,Direct mobile call,07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Owner-run commercial outfit. They decide on the spot. Lead on missed out-of-hours enquiries from commercial clients, where a lost call is a lost contract.",London,Commercial Gas Engineering,CP42 catering gas safety certificates,34,4.4,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[commercial trade]=20/25 demand=16/30 (34 reviews, 53% of commercial trade) reputation=12/20 (4.4 good)","Quick one. When someone contacts Commercial Gas Safety Certificates Ltd outside working hours, what happens to that enquiry?"
60,73,Birmingham One Gas (B1-Gas),domestic trade,07713 694466,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it.",Birmingham,Gas Engineering,"Boiler repair, plumbing",8,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=3/30 (8 reviews, 10% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Birmingham One Gas (B1-Gas) outside working hours, what happens to that enquiry?"
61,72,Goff Petroleum (Wymondham),fuel distribution,01953 713555,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Wymondham, Norwich",Oil & Fuel Distribution,Heating oil and fuel delivery,349,4.4,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=30/30 (349 reviews, 98% of fuel distribution) reputation=12/20 (4.4 good)","Quick one. When a customer rings Goff Petroleum (Wymondham) to order fuel out of hours, what happens to that enquiry?"
62,72,Bee Warm Heating,domestic trade,0161 222 5953,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. 61 reviews shows steady demand - ask how they handle enquiries while on a job.","Middleton, Manchester",Gas & Heating Engineering,Boiler repair and replacement,61,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=12/30 (61 reviews, 39% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Bee Warm Heating outside working hours, what happens to that enquiry?"
63,72,Hyde Gas Services,domestic trade,07746 823917,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it.","Armley, Leeds",Gas Engineering,Boiler repair and servicing,7,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=2/30 (7 reviews, 6% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Hyde Gas Services outside working hours, what happens to that enquiry?"
64,72,Gastech 24/7,domestic trade,07598 088229,mobile,Direct mobile call (SMS/WhatsApp acceptable),07:30-08:30 or 17:00-18:30,whoever answers - it is the owner,"Sole trader or owner-operator carrying the business phone. They decide instantly and hate admin. Keep it under 60 seconds. Do not call 09:00-16:00, they are on jobs and will resent it.",Leeds,Gas & Heating Engineering,24/7 emergency gas and heating,7,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[domestic trade]=25/25 demand=2/30 (7 reviews, 6% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Gastech 24/7 outside working hours, what happens to that enquiry?"
65,71,G D Jones & Son Ltd,fuel distribution,01248 421333,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Gaerwen, Anglesey",Oil Distribution,Heating oil delivery,57,4.8,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=21/30 (57 reviews, 70% of fuel distribution) reputation=20/20 (4.8 excellent)","Quick one. When a customer rings G D Jones & Son Ltd to order fuel out of hours, what happens to that enquiry?"
66,71,Gas Engineer Glasgow,domestic trade,0141 488 5457,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally. 59 reviews shows steady demand - ask how they handle enquiries while on a job.","Rutherglen, Glasgow",Gas Engineering,"Boiler repair, gas servicing",59,4.9,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=11/30 (59 reviews, 38% of domestic trade) reputation=20/20 (4.9 excellent)","Quick one. When someone contacts Gas Engineer Glasgow outside working hours, what happens to that enquiry?"
67,71,ScotWater,b2b industrial,0131 381 7770,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",Edinburgh,Pipeline Contracting,"Lead pipe replacement, mains work",16,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=26/30 (16 reviews, 88% of b2b industrial) reputation=20/20 (5.0 excellent)",Quick one. How does ScotWater currently handle enquiry intake and quoting when the team is stretched?
68,70,UK Gas Plumbers,commercial trade,020 8935 5572,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00",contracts manager or operations manager,"An admin will screen. Ask for the person who handles incoming enquiries by role, not by name you do not have. Angle on service contracts and planned maintenance scheduling.",London,Commercial Gas Engineering,"Commercial gas safety, catering gas certs",56,4.5,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[commercial trade]=20/25 demand=19/30 (56 reviews, 64% of commercial trade) reputation=16/20 (4.5 strong)","Quick one. When someone contacts UK Gas Plumbers outside working hours, what happens to that enquiry?"
69,70,Goff Petroleum (Tenterden),fuel distribution,01892 513861,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Tenterden, Kent",Oil & Fuel Distribution,Heating oil delivery,86,4.5,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=24/30 (86 reviews, 80% of fuel distribution) reputation=16/20 (4.5 strong)","Quick one. When a customer rings Goff Petroleum (Tenterden) to order fuel out of hours, what happens to that enquiry?"
70,70,Mayflower Engineering Ltd,b2b industrial,0114 244 1353,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",Sheffield,Structural Steel Engineering,"Structural steel fabrication, major projects",27,4.6,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=29/30 (27 reviews, 97% of b2b industrial) reputation=16/20 (4.6 strong)","Quick one. When someone contacts Mayflower Engineering Ltd outside working hours, what happens to that enquiry?"
71,69,Northern Energy Gas Ltd,fuel distribution,01423 772789,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Hampsthwaite, Harrogate",LPG & Oil Distribution,LPG and heating oil supply,111,4.3,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=27/30 (111 reviews, 89% of fuel distribution) reputation=12/20 (4.3 good)","Quick one. When a customer rings Northern Energy Gas Ltd to order fuel out of hours, what happens to that enquiry?"
72,69,Tinsley Bridge Group,b2b industrial,0114 221 1111,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Tinsley, Sheffield",Industrial Engineering / Manufacturing,Engineering manufacturing,12,4.8,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=24/30 (12 reviews, 80% of b2b industrial) reputation=20/20 (4.8 excellent)",Quick one. How does Tinsley Bridge Group currently handle enquiry intake and quoting when the team is stretched?
73,69,Taylor Engineering & Fabrications Ltd,b2b industrial,0121 326 9035,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Nechells, Birmingham",Engineering & Fabrication,"Specialist welding, fabrication",12,4.9,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=24/30 (12 reviews, 80% of b2b industrial) reputation=20/20 (4.9 excellent)",Quick one. How does Taylor Engineering & Fabrications Ltd currently handle enquiry intake and quoting when the team is stretched?
74,68,J E Lawrence & Son Ltd,fuel distribution,01437 731306,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Clarbeston Road, Pembrokeshire",Oil Distribution,Heating oil delivery,71,4.6,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=22/30 (71 reviews, 73% of fuel distribution) reputation=16/20 (4.6 strong)","Quick one. When a customer rings J E Lawrence & Son Ltd to order fuel out of hours, what happens to that enquiry?"
75,68,Western Fuel Depot,fuel distribution,01278 431451,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Bridgwater, Somerset",Oil & Fuel Distribution,Heating oil and diesel delivery,99,4.4,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=26/30 (99 reviews, 86% of fuel distribution) reputation=12/20 (4.4 good)","Quick one. When a customer rings Western Fuel Depot to order fuel out of hours, what happens to that enquiry?"
76,67,EG Martin,fuel distribution,01373 822784,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Westbury, Wiltshire",Oil Distribution,Heating oil delivery,36,4.9,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=17/30 (36 reviews, 56% of fuel distribution) reputation=20/20 (4.9 excellent)","Quick one. When a customer rings EG Martin to order fuel out of hours, what happens to that enquiry?"
77,67,Notts Gas & Electrical Ltd,domestic trade,0115 990 3308,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally.",Nottingham,Gas & Electrical Engineering,"Boiler fitting, EPC, fire risk assessment",28,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=7/30 (28 reviews, 22% of domestic trade) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Notts Gas & Electrical Ltd outside working hours, what happens to that enquiry?"
78,67,Intrelec Ltd,b2b industrial,020 8261 7600,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",London SW18,Electrical & Mechanical Services,Electrical installation and maintenance,10,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=22/30 (10 reviews, 74% of b2b industrial) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Intrelec Ltd outside working hours, what happens to that enquiry?"
79,66,Croft Engineering Bristol Ltd,b2b industrial,0117 958 3286,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Fishponds, Bristol",Industrial Engineering,"General engineering, machine shop repairs",13,4.7,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=25/30 (13 reviews, 84% of b2b industrial) reputation=16/20 (4.7 strong)",Quick one. How does Croft Engineering Bristol Ltd currently handle enquiry intake and quoting when the team is stretched?
80,66,Space Engineering Services,b2b industrial,0117 977 8833,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Brislington, Bristol",Industrial Engineering,Engineering services and manufacturing,13,4.5,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=25/30 (13 reviews, 84% of b2b industrial) reputation=16/20 (4.5 strong)",Quick one. How does Space Engineering Services currently handle enquiry intake and quoting when the team is stretched?
81,66,Go Green Solar Ltd,domestic trade,0117 964 0078,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally.",Bristol,Renewable Energy Installation,"Solar PV, battery, gas boiler installation",24,4.8,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=6/30 (24 reviews, 21% of domestic trade) reputation=20/20 (4.8 excellent)","Quick one. When someone contacts Go Green Solar Ltd outside working hours, what happens to that enquiry?"
82,65,Tate Oil,fuel distribution,01943 467444,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Otley, Leeds",Oil Distribution,Heating oil and fuel delivery,72,4.2,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=23/30 (72 reviews, 77% of fuel distribution) reputation=12/20 (4.2 good)","Quick one. When a customer rings Tate Oil to order fuel out of hours, what happens to that enquiry?"
83,65,Unitary Engineering Services Ltd,commercial trade,0117 951 9020,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00",contracts manager or operations manager,"An admin will screen. Ask for the person who handles incoming enquiries by role, not by name you do not have. Angle on service contracts and planned maintenance scheduling.",Bristol,Commercial Gas & Heating Engineering,"Commercial gas pipework, heat pumps, boiler install",29,4.6,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[commercial trade]=20/25 demand=14/30 (29 reviews, 47% of commercial trade) reputation=16/20 (4.6 strong)","Quick one. When someone contacts Unitary Engineering Services Ltd outside working hours, what happens to that enquiry?"
