Company Name,Website,Industry,Services,Location,Number of Employees,Annual Revenue,Managing Director / Owner,Email Address,Phone Number,LinkedIn Company Page,Company LinkedIn URL,Decision Maker LinkedIn,Companies House Number,Uses CRM (unverified),Online Booking (unverified),Live Chat (unverified),Website Outdated Score (unverified),Google Reviews (verified),Google Rating (verified),Automation Opportunity,Suggested AI Automation Package,Opening Line,Lead Score /100
Notts Heating & Plumbing,,Gas & Heating Engineering,"Cylinder replacement, boiler work",Nottingham,,,,,07825 216535,,,,,,,,,23,4.8,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Notts Heating & Plumbing outside working hours, what happens to that enquiry?",78
HCE Contractor Limited,,Building Services Maintenance,"Boiler repair, plumbing, electrical","Neasden, London",,,,,07308 880222,,,,,,,,,14,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Job Scheduling; Internal Workflow Automation,"Quick one. When someone contacts HCE Contractor Limited outside working hours, what happens to that enquiry?",78
Commercial Gas Safety Certificates Ltd,,Commercial Gas Engineering,CP42 catering gas safety certificates,London,,,,,07779 977899,,,,,,,,,34,4.4,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Commercial Gas Safety Certificates Ltd outside working hours, what happens to that enquiry?",73
JCH London,,Commercial Gas Engineering,"Commercial boiler fit-outs, restaurant gas systems",London,,,,,020 7622 0937,,,,,,,,,6,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts JCH London outside working hours, what happens to that enquiry?",73
Moorland Fuels,,Oil Distribution,Heating oil delivery,"Okehampton, Devon",,,,,01837 55700,,,,,,,,,46,3.8,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Moorland Fuels to order fuel out of hours, what happens to that enquiry?",73
Aztec Oils Southwest,,Oil Distribution,Fuel oil supply and delivery,"Newton Abbot, Devon",,,,,01626 835046,,,,,,,,,9,4.6,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Aztec Oils Southwest to order fuel out of hours, what happens to that enquiry?",73
Kernow Oils Ltd,,Industrial Lubricants Distribution,Fluids and lubrication supply for industrial use,"Hayle, Cornwall",,,,,01736 757002,,,,,,,,,1,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Kernow Oils Ltd to order fuel out of hours, what happens to that enquiry?",73
Lubricants SW Limited,,Industrial Lubricants Manufacturing,Lubricant manufacturing and supply,"Yelverton, Devon",,,,,01822 855885,,,,,,,,,1,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,"Quick one. When someone contacts Lubricants SW Limited outside working hours, what happens to that enquiry?",73
HNJ Engineering Ltd,,Industrial Engineering,Precision parts manufacturing,"Redcliffe, Bristol",,,,,07989 101458,,,,,,,,,3,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does HNJ Engineering Ltd currently handle enquiry intake and quoting when the team is stretched?,73
Broadway Engineering Limited,,Industrial Engineering,General engineering,Bristol,,,,,0117 965 7585,,,,,,,,,11,4.2,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Broadway Engineering Limited currently handle enquiry intake and quoting when the team is stretched?,73
Fowlers of Bristol (Engineers) Ltd,,Industrial Engineering / Manufacturing,Engineering and manufacturing,"Avonmouth, Bristol",,,,,0117 982 8965,,,,,,,,,8,4.5,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Fowlers of Bristol (Engineers) Ltd currently handle enquiry intake and quoting when the team is stretched?,73
Wilsons Engineering Ltd,,Industrial Engineering,Custom engineering and fabrication,"Warmley, Bristol",,,,,0117 947 4390,,,,,,,,,7,4.7,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Wilsons Engineering Ltd currently handle enquiry intake and quoting when the team is stretched?,73
Pipeline & Construction Supplies Ltd,,Pipeline Supplies,Pipeline and construction materials supply,"Marchwood, Southampton",,,,,023 8042 8284,,,,,,,,,7,4.7,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Pipeline & Construction Supplies Ltd currently handle enquiry intake and quoting when the team is stretched?,73
Heartland Pipelines Limited,,Pipeline Contracting,"Water pipeline installation, directional drilling",Telford,,,,,01952 260505,,,,,,,,,2,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Heartland Pipelines Limited currently handle enquiry intake and quoting when the team is stretched?,73
Masters Pipeline Services Ltd,,Pipeline & Gas Contracting,"Pipeline services, gas leak repair",Bristol,,,,,0117 963 8887,,,,,,,,,21,3.9,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Masters Pipeline Services Ltd currently handle enquiry intake and quoting when the team is stretched?,73
Energy and Technical Services Ltd,,Energy Consultancy & Maintenance,Energy project consultancy,"Pill, Bristol",,,,,0117 379 0850,,,,,,,,,4,4.8,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Job Scheduling; Internal Workflow Automation,"Quick one. When someone contacts Energy and Technical Services Ltd outside working hours, what happens to that enquiry?",73
HV Energy Systems Ltd,,Energy Systems Engineering,Energy systems services,"Yate, Bristol",,,,,01454 550424,,,,,,,,,1,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Quote Automation; Email Automation,"Quick one. When someone contacts HV Energy Systems Ltd outside working hours, what happens to that enquiry?",73
Aberdeen Oilfield Services,,Oilfield Services,Oilfield support services,Aberdeen,,,,,01224 875500,,,,,,,,,1,5.0,Likely - manual enquiry/quote handling typical for this business size,Internal Workflow Automation; CRM Automation; AI Customer Support,"Quick one. When a customer rings Aberdeen Oilfield Services to order fuel out of hours, what happens to that enquiry?",73
CAN (Offshore) Ltd,,Offshore Engineering Services,"Offshore inspection, maintenance, access",Aberdeen,,,,,01224 870100,,,,,,,,,10,4.1,Likely - manual enquiry/quote handling typical for this business size,Internal Workflow Automation; CRM Automation; AI Customer Support,Quick one. How much time does the team at CAN (Offshore) Ltd lose to manual admin and internal coordination each week?,73
ADC Energy Ltd,,Energy Consultancy,Energy consultancy services,"Queen's Rd, Aberdeen",,,,,01224 209123,,,,,,,,,4,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Quote Automation; Email Automation,"Quick one. When someone contacts ADC Energy Ltd outside working hours, what happens to that enquiry?",73
North Sea Energy Services Ltd,,Oilfield Services / Manufacturing,North Sea energy support services,"Dyce, Aberdeen",,,,,07515 382130,,,,,,,,,1,5.0,Likely - manual enquiry/quote handling typical for this business size,Internal Workflow Automation; CRM Automation; AI Customer Support,"Quick one. When a customer rings North Sea Energy Services Ltd to order fuel out of hours, what happens to that enquiry?",73
Helix Oilfield Services Ltd,,Oilfield Services,Oilfield support services,"Torry, Aberdeen",,,,,01224 240190,,,,,,,,,2,5.0,Likely - manual enquiry/quote handling typical for this business size,Internal Workflow Automation; CRM Automation; AI Customer Support,"Quick one. When a customer rings Helix Oilfield Services Ltd to order fuel out of hours, what happens to that enquiry?",73
Adapt Gas Solutions Limited,,Commercial Gas Services,Commercial gas / FM services,"Denton, Manchester",,,,,0161 526 5588,,,,,,,,,2,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Adapt Gas Solutions Limited outside working hours, what happens to that enquiry?",73
Birmingham One Gas (B1-Gas),,Gas Engineering,"Boiler repair, plumbing",Birmingham,,,,,07713 694466,,,,,,,,,8,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Birmingham One Gas (B1-Gas) outside working hours, what happens to that enquiry?",73
Guardian Gas Ltd,,Commercial & Domestic Gas Engineering,"Commercial and domestic gas, electrical",Birmingham,,,,,0121 458 2888,,,,,,,,,8,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Guardian Gas Ltd outside working hours, what happens to that enquiry?",73
Yorkshire Oils Ltd,,Oil Distribution,Heating oil delivery,"Boroughbridge, N Yorkshire",,,,,01423 396789,,,,,,,,,9,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Yorkshire Oils Ltd to order fuel out of hours, what happens to that enquiry?",73
Your NRG Yorkshire,,Oil Distribution,Heating oil supply,"Elvington, York",,,,,01904 409700,,,,,,,,,35,4.3,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Your NRG Yorkshire to order fuel out of hours, what happens to that enquiry?",73
Rix Petroleum - North Yorkshire,,Oil Distribution,Heating oil and fuel delivery,"Malton, N Yorkshire",,,,,01944 728243,,,,,,,,,1,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Rix Petroleum - North Yorkshire to order fuel out of hours, what happens to that enquiry?",73
Rix Petroleum - Yorkshire & Humber,,Oil Distribution,Heating oil and fuel delivery,Hull,,,,,01482 407006,,,,,,,,,15,3.4,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Rix Petroleum - Yorkshire & Humber to order fuel out of hours, what happens to that enquiry?",73
Majestic Engineering,,Industrial Engineering,Precision manufacturing,"Darnall, Sheffield",,,,,0114 256 1459,,,,,,,,,1,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Majestic Engineering currently handle enquiry intake and quoting when the team is stretched?,73
Ewen Precision Engineering,,Precision Engineering,"Precision component manufacturing, ISO accredited","Tinsley, Sheffield",,,,,0114 242 3332,,,,,,,,,1,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Ewen Precision Engineering currently handle enquiry intake and quoting when the team is stretched?,73
Ekspan Limited,,Industrial Engineering / Manufacturing,"Precision manufacturing, reverse engineering",Sheffield,,,,,0114 261 1126,,,,,,,,,4,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Ekspan Limited currently handle enquiry intake and quoting when the team is stretched?,73
Coltech Precision Engineering,,Precision Engineering,Precision engineering services,Sheffield,,,,,0114 242 4281,,,,,,,,,4,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Coltech Precision Engineering currently handle enquiry intake and quoting when the team is stretched?,73
Engineering CFD Ltd,,Engineering Consultancy,Computational fluid dynamics consultancy,Sheffield,,,,,0114 296 1005,,,,,,,,,2,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Engineering CFD Ltd outside working hours, what happens to that enquiry?",73
T T S Precision Engineering Ltd,,Precision Engineering,Precision engineering services,Sheffield,,,,,0114 243 4708,,,,,,,,,3,4.7,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does T T S Precision Engineering Ltd currently handle enquiry intake and quoting when the team is stretched?,73
Water and Pipeline Services,,Pipeline Contracting,Pipeline installation and services,Falkirk,,,,,01324 611353,,,,,,,,,6,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Water and Pipeline Services currently handle enquiry intake and quoting when the team is stretched?,73
Pipeline Drillers Ltd,,Pipeline Contracting,Pipeline drilling services,"Stewarton, Kilmarnock",,,,,01560 482021,,,,,,,,,1,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Pipeline Drillers Ltd currently handle enquiry intake and quoting when the team is stretched?,73
B&S Pipeline Solutions Ltd,,Pipeline & Drainage Services,"Drainage clearance, pipeline solutions","Fochabers, Moray",,,,,01343 821775,,,,,,,,,6,4.5,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does B&S Pipeline Solutions Ltd currently handle enquiry intake and quoting when the team is stretched?,73
FPP Scotland Ltd,,Pipeline & Building Supplies,Pipeline and construction materials supply,"Hillington, Glasgow",,,,,0141 882 6200,,,,,,,,,7,4.7,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does FPP Scotland Ltd currently handle enquiry intake and quoting when the team is stretched?,73
Hyde Gas Services,,Gas Engineering,Boiler repair and servicing,"Armley, Leeds",,,,,07746 823917,,,,,,,,,7,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Hyde Gas Services outside working hours, what happens to that enquiry?",73
Dual Flame Plumber Leeds,,Gas & Plumbing Engineering,"Emergency plumbing, boiler repair","Armley, Leeds",,,,,0113 892 1029,,,,,,,,,8,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Dual Flame Plumber Leeds outside working hours, what happens to that enquiry?",73
Gastech 24/7,,Gas & Heating Engineering,24/7 emergency gas and heating,Leeds,,,,,07598 088229,,,,,,,,,7,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Gastech 24/7 outside working hours, what happens to that enquiry?",73
Oil 4 Wales Llantrisant,,Oil Distribution,Heating oil and fuel supply,"Pontyclun, RCT",,,,,01443 800820,,,,,,,,,30,3.5,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Oil 4 Wales Llantrisant to order fuel out of hours, what happens to that enquiry?",73
Jarman W T & Sons,,Oil Distribution,Heating oil delivery,"Lampeter, Ceredigion",,,,,01570 422434,,,,,,,,,9,4.9,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Jarman W T & Sons to order fuel out of hours, what happens to that enquiry?",73
Bracebridge Engineering Ltd,,Industrial Engineering / Manufacturing,Engineering manufacturing,"Perry Barr, Birmingham",,,,,0121 331 1503,,,,,,,,,4,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Bracebridge Engineering Ltd currently handle enquiry intake and quoting when the team is stretched?,73
Propbrook Engineering Ltd,,Precision Engineering,Precision engineering manufacturing,Birmingham,,,,,0121 359 7097,,,,,,,,,4,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Propbrook Engineering Ltd currently handle enquiry intake and quoting when the team is stretched?,73
Wilco Manufacturing Ltd,,Industrial Manufacturing,Manufacturing and supply,"Tyseley, Birmingham",,,,,0121 772 6212,,,,,,,,,4,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,"Quick one. When someone contacts Wilco Manufacturing Ltd outside working hours, what happens to that enquiry?",73
Edmar Engineering Company Ltd,,Industrial Engineering,Engineering services,Birmingham,,,,,0121 327 1022,,,,,,,,,4,4.8,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Edmar Engineering Company Ltd currently handle enquiry intake and quoting when the team is stretched?,73
Conway Precision Engineering,,Precision Engineering,Precision engineering manufacturing,Birmingham,,,,,0121 327 2301,,,,,,,,,4,4.8,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Conway Precision Engineering currently handle enquiry intake and quoting when the team is stretched?,73
Brand Mechanical Engineering Ltd,,Mechanical Engineering,Precision mechanical engineering,Birmingham,,,,,0121 327 6622,,,,,,,,,3,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Brand Mechanical Engineering Ltd outside working hours, what happens to that enquiry?",73
Shaw Pipework and Fabrication,,Industrial Pipe Fabrication,Pipework fabrication and installation,"Stalybridge, Manchester",,,,,020 4541 2201,,,,,,,,,3,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Shaw Pipework and Fabrication currently handle enquiry intake and quoting when the team is stretched?,73
Humphreys Pipe Fabricators Limited,,Industrial Pipe Fabrication,Pipe fabrication services,"Harlow, Essex",,,,,01279 436623,,,,,,,,,3,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Humphreys Pipe Fabricators Limited currently handle enquiry intake and quoting when the team is stretched?,73
Abbey Pipework Fabricators Ltd,,Industrial Pipe Fabrication,Pipework fabrication,"Basildon, Essex",,,,,01268 526723,,,,,,,,,2,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Abbey Pipework Fabricators Ltd currently handle enquiry intake and quoting when the team is stretched?,73
Willand Engineering Company Ltd,,Industrial Engineering / Fabrication,"Stainless steel fabrication, tank installation",Halifax,,,,,01422 369000,,,,,,,,,3,4.7,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Willand Engineering Company Ltd currently handle enquiry intake and quoting when the team is stretched?,73
Pipe Services Ltd,,Pipeline Supplies,Pipe supply and services,"Belvedere, Kent",,,,,020 8311 2111,,,,,,,,,1,5.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Pipe Services Ltd currently handle enquiry intake and quoting when the team is stretched?,73
Projects and Maintenance Ltd,,Industrial Maintenance Contracting,Pipework projects and maintenance,"Basildon, Essex",,,,,01268 288754,,,,,,,,,3,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Job Scheduling; Internal Workflow Automation,"Quick one. When someone contacts Projects and Maintenance Ltd outside working hours, what happens to that enquiry?",73
Pipework Limited,,Industrial Pipework,Pipework installation and manufacturing,"Chadderton, Oldham",,,,,0161 633 4879,,,,,,,,,8,4.5,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Pipework Limited outside working hours, what happens to that enquiry?",73
Fuel Oils (Holdings) Ltd - Erith,,Oil & Fuel Distribution,Heating oil and fuel delivery,"Erith, Kent",,,,,01322 349035,,,,,,,,,14,4.4,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Fuel Oils (Holdings) Ltd - Erith to order fuel out of hours, what happens to that enquiry?",73
D&A Oil Tanks,,Oil Infrastructure Services,Oil tank replacement and installation,"Cranbrook, Kent",,,,,01580 715762,,,,,,,,,4,4.8,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings D&A Oil Tanks to order fuel out of hours, what happens to that enquiry?",73
Australis Distribution,,Fuel Distribution,Fuel distribution and supply,"Bethersden, Ashford, Kent",,,,,0845 456 0639,,,,,,,,,1,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Australis Distribution to order fuel out of hours, what happens to that enquiry?",73
Pipeline Services (UK) Ltd,,Pipeline Contracting,Pipeline installation and maintenance,"Shirebrook, Mansfield",,,,,01623 740074,,,,,,,,,4,4.3,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Pipeline Services (UK) Ltd currently handle enquiry intake and quoting when the team is stretched?,68
Oil States Industries (UK) Ltd,,Oilfield Equipment Manufacturing,Offshore oilfield equipment,"Nigg, Aberdeen",,,,,01224 290000,,,,,,,,,4,4.0,Likely - manual enquiry/quote handling typical for this business size,Internal Workflow Automation; CRM Automation; AI Customer Support,"Quick one. When a customer rings Oil States Industries (UK) Ltd to order fuel out of hours, what happens to that enquiry?",68
Lionrock Energy Services Ltd,,Oilfield Services,Energy support services,"Dyce, Aberdeen",,,,,01224 680299,,,,,,,,,3,4.3,Likely - manual enquiry/quote handling typical for this business size,Internal Workflow Automation; CRM Automation; AI Customer Support,"Quick one. When a customer rings Lionrock Energy Services Ltd to order fuel out of hours, what happens to that enquiry?",68
Aquaterra Energy Aberdeen Ltd,,Offshore Engineering,Offshore engineering solutions,Aberdeen,,,,,01224 651250,,,,,,,,,,,Likely - manual enquiry/quote handling typical for this business size,Internal Workflow Automation; CRM Automation; AI Customer Support,Quick one. How much time does the team at Aquaterra Energy Aberdeen Ltd lose to manual admin and internal coordination each week?,68
On Time Heating Services Ltd,,Gas & Heating Engineering,"Plumbing, heating, full property works",Birmingham,,,,,07800 600394,,,,,,,,,7,4.4,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts On Time Heating Services Ltd outside working hours, what happens to that enquiry?",68
Watson Fuels York,,Oil Distribution,Heating oil delivery,"Riccall, York",,,,,01757 248220,,,,,,,,,5,3.4,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Watson Fuels York to order fuel out of hours, what happens to that enquiry?",68
A E T Ltd (Advanced Engineering Techniques),,Industrial Engineering,Special steel products manufacturing,"Holbrook, Sheffield",,,,,0114 247 5725,,,,,,,,,8,4.4,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does A E T Ltd (Advanced Engineering Techniques) currently handle enquiry intake and quoting when the team is stretched?,68
Pipeline Energy Solutions Ltd,,Gas Pipeline Contracting,"Gas mains replacement, excavation",Paisley,,,,,0800 069 9404,,,,,,,,,5,4.2,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Pipeline Energy Solutions Ltd currently handle enquiry intake and quoting when the team is stretched?,68
Total Pipeline Technology Ltd,,Pipeline Technology / Manufacturing,Pipeline technology and equipment,"Blantyre, Glasgow",,,,,0141 428 3908,,,,,,,,,,,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Total Pipeline Technology Ltd currently handle enquiry intake and quoting when the team is stretched?,68
Oil 4 Wales (Milford Haven),,Oil Distribution & Boiler Services,"Heating oil, boiler service and engineering","Milford Haven, Pembrokeshire",,,,,01646 692255,,,,,,,,,5,3.4,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Oil 4 Wales (Milford Haven) to order fuel out of hours, what happens to that enquiry?",68
Commercial Gas Ltd,,Commercial Gas Engineering,Commercial gas services,"Hillington, Glasgow",,,,,0141 891 5315,,,,,,,,,,,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Commercial Gas Ltd outside working hours, what happens to that enquiry?",68
Commercial Gas Solutions Ltd,,Commercial Gas Engineering,Commercial gas services,Glasgow,,,,,07941 485268,,,,,,,,,,,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Commercial Gas Solutions Ltd outside working hours, what happens to that enquiry?",68
Advanced Engineering (UK) Ltd,,Industrial Engineering / Manufacturing,Engineering manufacturing,Birmingham,,,,,0121 523 4363,,,,,,,,,5,4.2,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Advanced Engineering (UK) Ltd currently handle enquiry intake and quoting when the team is stretched?,68
Pipe Services Fabrication Ltd (PSFL),,Industrial Pipe Fabrication,Pipe fabrication and supply,London SE7,,,,,020 8858 2626,,,,,,,,,5,4.0,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Pipe Services Fabrication Ltd (PSFL) currently handle enquiry intake and quoting when the team is stretched?,68
Pipework Fabrication Services Ltd,,Industrial Pipe Fabrication,Pipework fabrication and supply,"Sandbach, Cheshire",,,,,07903 144555,,,,,,,,,,,Likely - manual enquiry/quote handling typical for this business size,Quote Automation; Job Scheduling; CRM Automation,Quick one. How does Pipework Fabrication Services Ltd currently handle enquiry intake and quoting when the team is stretched?,68
Fuel Oils (Holdings) Ltd - Canterbury,,Oil & Fuel Distribution,Heating oil delivery,"Canterbury, Kent",,,,,01227 464282,,,,,,,,,3,2.3,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Fuel Oils (Holdings) Ltd - Canterbury to order fuel out of hours, what happens to that enquiry?",68
Wyse Oil Ltd,,Oil Distribution,Heating oil supply,"Charing, Ashford, Kent",,,,,01233 714217,,,,,,,,,,,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; AI Voice Agent; Order Automation; Invoice Chasing,"Quick one. When a customer rings Wyse Oil Ltd to order fuel out of hours, what happens to that enquiry?",68
Rygol Electrical & Renewables,,Renewable Energy / Electrical,"Rewires, solar, battery installation","Staple Hill, Bristol",,,,,0117 313 7644,,,,,,,,,146,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Quote Automation; Email Automation,"Quick one. When someone contacts Rygol Electrical & Renewables outside working hours, what happens to that enquiry?",59
Focus 360 Energy LTD,,Energy Assessment,EPC assessments,"Clifton, Bristol",,,,,0117 287 2899,,,,,,,,,115,4.7,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Quote Automation; Email Automation,"Quick one. When someone contacts Focus 360 Energy LTD outside working hours, what happens to that enquiry?",59
SHiNE / EPC Bristol,,Energy Assessment,EPC certification,"Redcliffe, Bristol",,,,,07722 287177,,,,,,,,,116,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Quote Automation; Email Automation,"Quick one. When someone contacts SHiNE / EPC Bristol outside working hours, what happens to that enquiry?",59
Ignite Gas Plumbing & Electrics Ltd,,"Gas, Plumbing & Electrical","Boiler servicing, plumbing, electrics","Old Basford, Nottingham",,,,,07494 671891,,,,,,,,,57,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Lead Qualification; Job Scheduling,"Quick one. When someone contacts Ignite Gas Plumbing & Electrics Ltd outside working hours, what happens to that enquiry?",59
Go Green Solar Ltd,,Renewable Energy Installation,"Solar PV, battery, gas boiler installation",Bristol,,,,,0117 964 0078,,,,,,,,,24,4.8,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Quote Automation; Email Automation,"Quick one. When someone contacts Go Green Solar Ltd outside working hours, what happens to that enquiry?",53
Willis Electrical Ltd,,Renewable Energy / Electrical,"Solar, battery, EV charger installation",Bristol,,,,,0117 287 2947,,,,,,,,,19,5.0,Likely - manual enquiry/quote handling typical for this business size,AI Receptionist; Quote Automation; Email Automation,"Quick one. When someone contacts Willis Electrical Ltd outside working hours, what happens to that enquiry?",53
